bom_id,product_id,product_name,material_id,qty_per_unit,unit_of_measure
1,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-001,1.0,EACH
2,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-002,1.0,EACH
3,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-003,4.0,EACH
4,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-004,0.02,LITER
5,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-005,0.006,KG
6,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-006,0.002,KG
7,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-007,0.003,KG
8,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-008,0.001,KG
9,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-009,0.001,KG
10,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-010,0.0005,KG
11,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-011,2.0,EACH
12,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-012,2.0,EACH
13,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-013,1.0,SET
14,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-014,1.0,BAG
15,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-015,1.0,SET
16,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-016,1.0,EACH
17,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-017,1.0,PAIR
18,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-018,0.005,REEL
19,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-019,3.0,EACH
20,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-020,2.5,METER
21,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-021,1.8,METER
22,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-022,0.008,ROLL
23,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-023,0.015,BOTTLE
24,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-024,0.002,DRUM
25,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-025,0.001,DRUM
26,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-027,0.002,EACH
27,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-028,0.04,EACH
28,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-029,1.0,SET
29,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-030,0.002,ROLL
30,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-031,0.003,ROLL
31,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-032,1.0,EACH
32,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-038,0.003,ROLL
33,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-039,0.002,ROLL
34,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-040,0.5,ROLL
35,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-047,1.0,BAG
36,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-048,1.0,EACH
37,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-049,0.01,EACH
38,FS6-450W,First Solar Series 6 450W CdTe Module,MAT-050,0.01,ROLL
39,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-001,1.1,EACH
40,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-002,1.1,EACH
41,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-003,4.4,EACH
42,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-004,0.022,LITER
43,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-005,0.0066,KG
44,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-006,0.0022,KG
45,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-007,0.0033,KG
46,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-008,0.0011,KG
47,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-009,0.0011,KG
48,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-010,0.00055,KG
49,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-011,2.2,EACH
50,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-012,2.2,EACH
51,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-013,1.1,SET
52,FS7-500W,First Solar Series 7 500W CdTe Module,MAT-014,1.1,BAG
