plant_id,material_id,week_start,forecast_demand,lower_bound,upper_bound,actual_demand,is_future
PLT-AL1,MAT-001,2024-12-30,10728.75,10632.51,10824.99,10795.6,False
PLT-AL1,MAT-001,2025-01-06,17865.81,17769.46,17961.95,17820.2,False
PLT-AL1,MAT-001,2025-01-13,17769.62,17673.27,17865.86,17741.8,False
PLT-AL1,MAT-001,2025-01-20,17973.41,17877.17,18069.65,18021.6,False
PLT-AL1,MAT-001,2025-01-27,18273.59,18177.24,18369.83,18313.9,False
PLT-AL1,MAT-001,2025-02-03,18670.96,18574.72,18767.2,18684.2,False
PLT-AL1,MAT-001,2025-02-10,18779.88,18683.64,18876.23,18742.0,False
PLT-AL1,MAT-001,2025-02-17,18621.78,18525.54,18718.13,18595.5,False
PLT-AL1,MAT-001,2025-02-24,18477.91,18381.67,18574.15,18501.4,False
PLT-AL1,MAT-001,2025-03-03,19203.31,19107.07,19299.66,19220.6,False
PLT-AL1,MAT-001,2025-03-10,19055.38,18959.03,19151.62,19061.8,False
PLT-AL1,MAT-001,2025-03-17,19096.64,19000.4,19192.99,19387.3,False
PLT-AL1,MAT-001,2025-03-24,18937.33,18840.98,19033.57,19286.1,False
PLT-AL1,MAT-001,2025-03-31,19093.93,18997.69,19190.17,20487.7,False
PLT-AL1,MAT-001,2025-04-07,19069.13,18972.89,19165.37,,True
PLT-AL1,MAT-001,2025-04-14,19175.08,19039.0,19311.26,,True
PLT-AL1,MAT-001,2025-04-21,19188.61,19021.94,19355.39,,True
PLT-AL1,MAT-001,2025-04-28,19177.06,18984.47,19369.54,,True
PLT-AL1,MAT-001,2025-05-05,19177.06,18961.84,19392.38,,True
PLT-AL1,MAT-001,2025-05-12,19177.06,18941.34,19412.88,,True
PLT-AL1,MAT-001,2025-05-19,19177.06,18922.33,19431.79,,True
PLT-AL1,MAT-001,2025-05-26,19177.06,18904.8,19449.32,,True
PLT-AL1,MAT-001,2025-06-02,19177.06,18888.23,19465.89,,True
PLT-AL1,MAT-001,2025-06-09,19177.06,18872.61,19481.4,,True
PLT-AL1,MAT-001,2025-06-16,19177.06,18857.74,19496.27,,True
PLT-AL1,MAT-001,2025-06-23,19177.06,18843.61,19510.61,,True
PLT-AL1,MAT-001,2025-06-30,19177.06,18829.91,19524.1,,True
PLT-AL1,MAT-002,2024-12-30,10728.75,10632.51,10824.99,10795.6,False
PLT-AL1,MAT-002,2025-01-06,17865.81,17769.46,17961.95,17820.2,False
PLT-AL1,MAT-002,2025-01-13,17769.62,17673.27,17865.86,17741.8,False
PLT-AL1,MAT-002,2025-01-20,17973.41,17877.17,18069.65,18021.6,False
PLT-AL1,MAT-002,2025-01-27,18273.59,18177.24,18369.83,18313.9,False
PLT-AL1,MAT-002,2025-02-03,18670.96,18574.72,18767.2,18684.2,False
PLT-AL1,MAT-002,2025-02-10,18779.88,18683.64,18876.23,18742.0,False
PLT-AL1,MAT-002,2025-02-17,18621.78,18525.54,18718.13,18595.5,False
PLT-AL1,MAT-002,2025-02-24,18477.91,18381.67,18574.15,18501.4,False
PLT-AL1,MAT-002,2025-03-03,19203.31,19107.07,19299.66,19220.6,False
PLT-AL1,MAT-002,2025-03-10,19055.38,18959.03,19151.62,19061.8,False
PLT-AL1,MAT-002,2025-03-17,19096.64,19000.4,19192.99,19387.3,False
PLT-AL1,MAT-002,2025-03-24,18937.33,18840.98,19033.57,19286.1,False
PLT-AL1,MAT-002,2025-03-31,19093.93,18997.69,19190.17,20487.7,False
PLT-AL1,MAT-002,2025-04-07,19069.13,18972.89,19165.37,,True
PLT-AL1,MAT-002,2025-04-14,19175.08,19039.0,19311.26,,True
PLT-AL1,MAT-002,2025-04-21,19188.61,19021.94,19355.39,,True
PLT-AL1,MAT-002,2025-04-28,19177.06,18984.47,19369.54,,True
PLT-AL1,MAT-002,2025-05-05,19177.06,18961.84,19392.38,,True
PLT-AL1,MAT-002,2025-05-12,19177.06,18941.34,19412.88,,True
PLT-AL1,MAT-002,2025-05-19,19177.06,18922.33,19431.79,,True
PLT-AL1,MAT-002,2025-05-26,19177.06,18904.8,19449.32,,True
PLT-AL1,MAT-002,2025-06-02,19177.06,18888.23,19465.89,,True
PLT-AL1,MAT-002,2025-06-09,19177.06,18872.61,19481.4,,True
PLT-AL1,MAT-002,2025-06-16,19177.06,18857.74,19496.27,,True
PLT-AL1,MAT-002,2025-06-23,19177.06,18843.61,19510.61,,True
PLT-AL1,MAT-002,2025-06-30,19177.06,18829.91,19524.1,,True
PLT-AL1,MAT-003,2024-12-30,42915.0,42530.04,43299.96,43182.4,False
PLT-AL1,MAT-003,2025-01-06,71463.24,71077.84,71847.8,71280.8,False
PLT-AL1,MAT-003,2025-01-13,71078.48,70693.08,71463.44,70967.2,False
PLT-AL1,MAT-003,2025-01-20,71893.64,71508.68,72278.6,72086.4,False
PLT-AL1,MAT-003,2025-01-27,73094.36,72708.96,73479.32,73255.6,False
PLT-AL1,MAT-003,2025-02-03,74683.84,74298.88,75068.8,74736.8,False
PLT-AL1,MAT-003,2025-02-10,75119.52,74734.56,75504.92,74968.0,False
PLT-AL1,MAT-003,2025-02-17,74487.12,74102.16,74872.52,74382.0,False
PLT-AL1,MAT-003,2025-02-24,73911.64,73526.68,74296.6,74005.6,False
PLT-AL1,MAT-003,2025-03-03,76813.24,76428.28,77198.64,76882.4,False
PLT-AL1,MAT-003,2025-03-10,76221.52,75836.12,76606.48,76247.2,False
PLT-AL1,MAT-003,2025-03-17,76386.56,76001.6,76771.96,77549.2,False
PLT-AL1,MAT-003,2025-03-24,75749.32,75363.92,76134.28,77144.4,False
PLT-AL1,MAT-003,2025-03-31,76375.72,75990.76,76760.68,81950.8,False
PLT-AL1,MAT-003,2025-04-07,76276.52,75891.56,76661.48,,True
PLT-AL1,MAT-003,2025-04-14,76700.32,76156.0,77245.04,,True
PLT-AL1,MAT-003,2025-04-21,76754.44,76087.76,77421.56,,True
PLT-AL1,MAT-003,2025-04-28,76708.24,75937.88,77478.16,,True
PLT-AL1,MAT-003,2025-05-05,76708.24,75847.36,77569.52,,True
PLT-AL1,MAT-003,2025-05-12,76708.24,75765.36,77651.52,,True
PLT-AL1,MAT-003,2025-05-19,76708.24,75689.32,77727.16,,True
PLT-AL1,MAT-003,2025-05-26,76708.24,75619.2,77797.28,,True
PLT-AL1,MAT-003,2025-06-02,76708.24,75552.92,77863.56,,True
PLT-AL1,MAT-003,2025-06-09,76708.24,75490.44,77925.6,,True
PLT-AL1,MAT-003,2025-06-16,76708.24,75430.96,77985.08,,True
PLT-AL1,MAT-003,2025-06-23,76708.24,75374.44,78042.44,,True
PLT-AL1,MAT-003,2025-06-30,76708.24,75319.64,78096.4,,True
PLT-AL1,MAT-004,2024-12-30,214.57,212.65,216.5,215.91,False
PLT-AL1,MAT-004,2025-01-06,357.32,355.39,359.24,356.4,False
PLT-AL1,MAT-004,2025-01-13,355.39,353.47,357.32,354.84,False
PLT-AL1,MAT-004,2025-01-20,359.47,357.54,361.39,360.43,False
PLT-AL1,MAT-004,2025-01-27,365.47,363.54,367.4,366.28,False
