signal_id,signal_date,origin_port,origin_country,destination_port,destination_country,supplier_lane,commodity_category,export_volume_index,port_dwell_time_hours,vessel_truck_count,shipment_delay_flag,avg_transit_days,data_source,notes
1,2025-01-01,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,107.0,34.0,5,0,3.1,Simulated Marketplace Trade Dataset,
2,2025-01-02,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,102.3,21.1,5,0,2.6,Simulated Marketplace Trade Dataset,
3,2025-01-03,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,98.3,26.7,5,0,3.2,Simulated Marketplace Trade Dataset,
4,2025-01-06,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,99.5,33.4,5,0,3.1,Simulated Marketplace Trade Dataset,
5,2025-01-07,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,97.7,21.3,5,0,3.0,Simulated Marketplace Trade Dataset,
6,2025-01-08,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,89.9,24.9,4,0,2.9,Simulated Marketplace Trade Dataset,
7,2025-01-09,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,104.1,32.8,5,0,2.9,Simulated Marketplace Trade Dataset,
8,2025-01-10,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,106.1,24.6,5,0,2.5,Simulated Marketplace Trade Dataset,
9,2025-01-13,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,107.6,21.6,5,0,2.4,Simulated Marketplace Trade Dataset,
10,2025-01-14,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,103.3,21.8,5,0,3.1,Simulated Marketplace Trade Dataset,
11,2025-01-15,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,95.4,19.2,5,0,3.1,Simulated Marketplace Trade Dataset,
12,2025-01-16,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,102.9,26.5,5,0,2.7,Simulated Marketplace Trade Dataset,
13,2025-01-17,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,104.5,16.3,5,0,3.4,Simulated Marketplace Trade Dataset,
14,2025-01-20,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,100.5,24.5,5,0,2.9,Simulated Marketplace Trade Dataset,
15,2025-01-21,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,109.1,22.2,5,0,3.0,Simulated Marketplace Trade Dataset,
16,2025-01-22,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,96.8,14.3,5,0,3.6,Simulated Marketplace Trade Dataset,
17,2025-01-23,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,97.2,28.5,5,0,2.9,Simulated Marketplace Trade Dataset,
18,2025-01-24,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,110.5,22.6,6,0,3.2,Simulated Marketplace Trade Dataset,
19,2025-01-27,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,111.0,26.0,6,0,2.9,Simulated Marketplace Trade Dataset,
20,2025-01-28,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,98.2,31.4,5,0,3.3,Simulated Marketplace Trade Dataset,
21,2025-01-29,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,94.0,23.8,5,0,2.2,Simulated Marketplace Trade Dataset,
22,2025-01-30,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,106.8,23.4,5,0,3.2,Simulated Marketplace Trade Dataset,
23,2025-01-31,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,97.5,26.4,5,0,2.5,Simulated Marketplace Trade Dataset,
24,2025-02-03,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,98.2,28.4,5,0,2.7,Simulated Marketplace Trade Dataset,
25,2025-02-04,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,96.0,21.0,5,0,3.3,Simulated Marketplace Trade Dataset,
26,2025-02-05,Monterrey Industrial,Mexico,Mobile AL,USA,ABC Glass Industries → Alabama,Flat Glass / Construction Materials,104.5,18.9,5,0,2.5,Simulated Marketplace Trade Dataset,
