snapshot_id,snapshot_date,plant_id,material_id,quantity_on_hand,unit_cost,inventory_value,safety_stock_level,reorder_point,days_forward_coverage
1,2025-01-01,PLT-AZ1,MAT-001,258319.8746,27.593,7127820.2995,188811.8528,197021.0638,62.93
2,2025-01-01,PLT-AZ1,MAT-002,255756.0545,22.017,5630981.0512,192916.4583,203177.972,62.31
3,2025-01-01,PLT-AZ1,MAT-003,1023405.101,4.2603,4360012.7517,804502.677,861967.154,62.33
4,2025-01-01,PLT-AZ1,MAT-004,5074.4643,87.8254,445666.8611,3940.4213,4227.7437,61.81
5,2025-01-01,PLT-AZ1,MAT-005,2359.7965,329.4044,777327.3605,1822.4448,1908.6416,95.82
6,2025-01-01,PLT-AZ1,MAT-006,827.8389,205.1512,169832.1419,632.1092,673.1553,100.84
7,2025-01-01,PLT-AZ1,MAT-007,1287.7282,174.9688,225312.2575,997.4191,1065.1451,104.58
8,2025-01-01,PLT-AZ1,MAT-008,429.111,427.191,183312.3426,332.473,355.0484,104.54
9,2025-01-01,PLT-AZ1,MAT-009,418.0319,94.8709,39659.066,324.2638,340.6823,101.84
10,2025-01-01,PLT-AZ1,MAT-010,206.0202,9.7205,2002.6191,172.3934,186.7596,100.38
11,2025-01-01,PLT-AZ1,MAT-011,409062.5685,6.6129,2705089.859,311950.0176,332473.0451,49.83
12,2025-01-01,PLT-AZ1,MAT-012,402209.7556,4.1413,1665671.2609,295531.5956,307845.4121,48.99
13,2025-01-01,PLT-AZ1,MAT-013,181553.8533,2.3057,418608.7195,147765.7978,153922.7061,44.23
14,2025-01-01,PLT-AZ1,MAT-014,175388.5255,0.8624,151255.0644,151870.4033,162131.9171,42.73
15,2025-01-01,PLT-AZ1,MAT-015,195260.3082,1.2162,237475.5868,160079.6143,174445.7335,47.57
16,2025-01-01,PLT-AZ1,MAT-016,153599.6144,7.7857,1195880.5176,127242.7703,133399.6786,37.42
17,2025-01-01,PLT-AZ1,MAT-017,175027.5236,2.3172,405573.7776,135451.9813,145713.4951,42.64
18,2025-01-01,PLT-AZ1,MAT-018,775.5806,18.9273,14679.6474,574.6448,605.4293,37.79
19,2025-01-01,PLT-AZ1,MAT-019,461363.2165,0.6792,313357.8966,381728.311,400199.0358,37.47
20,2025-01-01,PLT-AZ1,MAT-020,378686.3207,0.4353,164842.1554,348891.4671,379676.0083,36.9
21,2025-01-01,PLT-AZ1,MAT-021,278882.4786,0.2967,82744.4314,206872.117,217954.5518,37.75
22,2025-01-01,PLT-AZ1,MAT-022,1326.0253,99.6278,132108.9831,1017.9422,1083.6159,40.38
23,2025-01-01,PLT-AZ1,MAT-023,1458.7466,143.5576,209414.1642,1416.0889,1539.2271,23.69
24,2025-01-01,PLT-AZ1,MAT-024,229.5178,61.4043,14093.3787,172.3934,180.6026,27.96
25,2025-01-01,PLT-AZ1,MAT-025,163.0662,180.0,29351.9186,143.6612,153.9227,39.73
26,2025-01-01,PLT-AZ1,MAT-027,190.5545,4.5718,871.1772,172.3934,180.6026,23.21
27,2025-01-01,PLT-AZ1,MAT-028,6553.4964,45.0,294907.3364,5746.4477,6156.9082,39.92
28,2025-01-01,PLT-AZ1,MAT-029,164060.4652,2.8,459369.3026,143661.1923,153922.7061,39.97
29,2025-01-01,PLT-AZ1,MAT-030,375.3921,22.0,8258.6272,287.3224,307.8454,45.73
30,2025-01-01,PLT-AZ1,MAT-031,561.8474,15.0,8427.7103,430.9836,461.7681,45.63
31,2025-01-01,PLT-AZ1,MAT-032,164435.1316,5.5,904393.2236,143661.1923,153922.7061,40.06
32,2025-01-01,PLT-AZ1,MAT-038,641.731,189.7163,121746.8402,529.4941,560.2787,52.11
33,2025-01-01,PLT-AZ1,MAT-039,428.5982,217.3926,93174.0748,352.9961,373.5191,52.21
34,2025-01-01,PLT-AZ1,MAT-040,115916.4831,30.0593,3484368.3404,90301.3209,96458.2291,56.48
35,2025-01-01,PLT-AZ1,MAT-047,164806.5489,3.2,527380.9564,143661.1923,153922.7061,40.15
36,2025-01-01,PLT-AZ1,MAT-048,183131.2271,1.8,329636.2087,143661.1923,153922.7061,44.62
37,2025-01-01,PLT-AZ1,MAT-049,813.5575,8.4709,6891.5641,615.6908,656.7369,19.82
38,2025-01-01,PLT-AZ1,MAT-050,1820.1171,22.0,40042.5757,1436.6119,1539.2271,44.34
39,2025-01-01,PLT-OH2,MAT-001,282345.4159,27.4849,7760235.5227,224363.556,234118.4932,57.89
40,2025-01-01,PLT-OH2,MAT-002,306122.3373,21.8027,6674293.4838,229241.0246,241434.6961,62.76
41,2025-01-01,PLT-OH2,MAT-003,1209320.9325,4.2428,5130906.8524,955983.8473,1024268.4079,61.99
42,2025-01-01,PLT-OH2,MAT-004,5532.3443,87.7775,485615.3506,4682.3699,5023.7927,56.71
43,2025-01-01,PLT-OH2,MAT-005,2972.4708,335.0481,995920.6896,2546.0386,2780.1571,101.57
44,2025-01-01,PLT-OH2,MAT-006,439.9019,210.0,92379.3952,341.4228,365.8101,45.1
45,2025-01-01,PLT-OH2,MAT-007,1543.1706,174.995,270047.1478,1185.2249,1265.7031,105.46
46,2025-01-01,PLT-OH2,MAT-008,487.3429,429.3699,209250.376,395.075,421.901,99.92
47,2025-01-01,PLT-OH2,MAT-009,518.1303,101.4333,52555.6695,385.32,404.8299,106.23
48,2025-01-01,PLT-OH2,MAT-010,257.1592,9.8968,2545.053,204.8537,221.9248,105.45
49,2025-01-01,PLT-OH2,MAT-011,483499.0543,6.8872,3329954.6867,370687.6143,395074.9573,49.56
50,2025-01-01,PLT-OH2,MAT-012,482082.576,3.9636,1910782.498,351177.7398,365810.1457,49.42
51,2025-01-01,PLT-OH2,MAT-013,242613.9587,2.3388,567425.5266,175588.8699,182905.0728,49.74
52,2025-01-01,PLT-OH2,MAT-014,235054.4089,0.8842,207835.1084,180466.3385,192660.0101,48.19
53,2025-01-01,PLT-OH2,MAT-015,232567.8092,1.2039,279988.3855,190221.2757,207292.4159,47.68
54,2025-01-01,PLT-OH2,MAT-016,205473.887,7.9279,1628976.4289,151201.5269,158517.7298,42.13
55,2025-01-01,PLT-OH2,MAT-017,202414.8086,2.1744,440130.7597,160956.4641,173150.1356,41.5
56,2025-01-01,PLT-OH2,MAT-018,1079.4784,18.0,19430.6107,853.557,914.5254,44.26
57,2025-01-01,PLT-OH2,MAT-019,602531.0442,0.6768,407793.0107,453604.5806,475553.1894,41.18
58,2025-01-01,PLT-OH2,MAT-020,504183.0225,0.436,219823.7978,414584.8318,451165.8463,41.35
59,2025-01-01,PLT-OH2,MAT-021,394270.7793,0.28,110395.8182,307280.5224,329229.1311,44.91
60,2025-01-01,PLT-OH2,MAT-022,1566.4825,102.9547,161276.7311,1170.5925,1229.1221,40.15
61,2025-01-01,PLT-OH2,MAT-023,1701.5121,138.4548,235582.5217,1682.7267,1829.0507,23.26
62,2025-01-01,PLT-OH2,MAT-024,233.8013,62.8156,14686.3674,204.8537,214.6086,23.97
63,2025-01-01,PLT-OH2,MAT-025,196.7657,180.0,35417.8313,170.7114,182.9051,40.34
64,2025-01-01,PLT-OH2,MAT-027,276.7869,4.5384,1256.1698,204.8537,214.6086,28.37
65,2025-01-01,PLT-OH2,MAT-028,8631.1612,45.0,388402.2555,6828.4561,7316.2029,44.24
66,2025-01-01,PLT-OH2,MAT-029,217062.9118,2.8,607776.1531,170711.4013,182905.0728,44.5
67,2025-01-01,PLT-OH2,MAT-030,441.8954,22.0,9721.6979,341.4228,365.8101,45.3
68,2025-01-01,PLT-OH2,MAT-031,657.6368,15.0,9864.5517,512.1342,548.7152,44.94
69,2025-01-01,PLT-OH2,MAT-032,222817.2374,5.5,1225494.8055,170711.4013,182905.0728,45.68
70,2025-01-01,PLT-OH2,MAT-038,689.1604,177.4999,122325.9106,541.399,577.98,47.1
71,2025-01-01,PLT-OH2,MAT-039,470.7025,210.363,99018.3912,360.9327,385.32,48.25
72,2025-01-01,PLT-OH2,MAT-040,126418.5872,30.6366,3873035.6899,102426.8408,107304.3094,51.84
73,2025-01-01,PLT-OH2,MAT-047,115286.4588,3.0756,354575.0328,87794.435,92671.9036,23.64
74,2025-01-01,PLT-OH2,MAT-048,115887.52,1.8132,210127.2513,87794.435,92671.9036,23.76
