transfer_id,transfer_date,from_plant_id,to_plant_id,material_id,transfer_qty,unit_cost,transfer_cost,transit_days,expected_arrival_date,actual_arrival_date,transfer_status
TXF-00001,2025-01-06,PLT-AL1,PLT-LA1,MAT-022,453,95.0,1260.0,1,2025-01-07,2025-01-07,Received
TXF-00002,2025-01-06,PLT-AL1,PLT-LA1,MAT-005,311,320.0,1260.0,1,2025-01-07,2025-01-07,Received
TXF-00003,2025-01-06,PLT-AL1,PLT-OH1,MAT-005,538,320.0,2040.0,2,2025-01-08,2025-01-08,Received
TXF-00004,2025-01-13,PLT-OH1,PLT-LA1,MAT-016,74144,7.5,2550.0,2,2025-01-15,2025-01-15,Received
TXF-00005,2025-01-13,PLT-OH1,PLT-AL1,MAT-005,250,320.0,2040.0,2,2025-01-15,2025-01-15,Received
TXF-00006,2025-01-13,PLT-OH1,PLT-AL1,MAT-005,222,320.0,2040.0,2,2025-01-15,2025-01-15,Received
TXF-00007,2025-01-20,PLT-OH1,PLT-AL1,MAT-016,50974,7.5,2040.0,2,2025-01-22,2025-01-22,Received
TXF-00008,2025-01-20,PLT-AL1,PLT-LA1,MAT-022,717,95.0,1260.0,1,2025-01-21,2025-01-21,Received
TXF-00009,2025-01-27,PLT-LA1,PLT-AL1,MAT-022,253,95.0,1260.0,1,2025-01-28,2025-01-28,Received
TXF-00010,2025-01-27,PLT-AL1,PLT-OH1,MAT-022,491,95.0,2040.0,2,2025-01-29,2025-01-29,Received
TXF-00011,2025-01-27,PLT-AL1,PLT-OH1,MAT-005,425,320.0,2040.0,2,2025-01-29,2025-01-29,Received
TXF-00012,2025-01-27,PLT-LA1,PLT-OH1,MAT-008,18,420.0,2550.0,2,2025-01-29,2025-01-29,Received
TXF-00013,2025-02-03,PLT-AL1,PLT-LA1,MAT-007,198,175.0,1260.0,1,2025-02-04,2025-02-04,Received
TXF-00014,2025-02-03,PLT-LA1,PLT-AL1,MAT-038,124,185.0,1260.0,1,2025-02-04,2025-02-04,Received
TXF-00015,2025-02-03,PLT-AL1,PLT-OH1,MAT-006,160,210.0,2040.0,2,2025-02-05,2025-02-05,Received
TXF-00016,2025-02-10,PLT-OH1,PLT-AL1,MAT-008,51,420.0,2040.0,2,2025-02-12,2025-02-12,Received
TXF-00017,2025-02-10,PLT-OH1,PLT-AL1,MAT-022,556,95.0,2040.0,2,2025-02-12,2025-02-12,Received
TXF-00018,2025-02-10,PLT-OH1,PLT-AL1,MAT-016,55608,7.5,2040.0,2,2025-02-12,2025-02-12,Received
TXF-00019,2025-02-17,PLT-LA1,PLT-AL1,MAT-005,201,320.0,1260.0,1,2025-02-18,2025-02-18,Received
TXF-00020,2025-02-17,PLT-OH1,PLT-AL1,MAT-038,292,185.0,2040.0,2,2025-02-19,2025-02-19,Received
TXF-00021,2025-02-17,PLT-AL1,PLT-LA1,MAT-016,80220,7.5,2520.0,1,2025-02-18,2025-02-18,Received
TXF-00022,2025-02-24,PLT-AL1,PLT-OH1,MAT-005,566,320.0,2040.0,2,2025-02-26,2025-02-26,Received
TXF-00023,2025-02-24,PLT-OH1,PLT-LA1,MAT-006,185,210.0,2550.0,2,2025-02-26,2025-02-26,Received
TXF-00024,2025-02-24,PLT-AL1,PLT-OH1,MAT-001,99096,28.5,252960.0,2,2025-02-26,2025-02-26,Received
TXF-00025,2025-02-24,PLT-LA1,PLT-AL1,MAT-001,25657,28.5,41580.0,1,2025-02-25,2025-02-25,Received
TXF-00026,2025-03-03,PLT-AL1,PLT-LA1,MAT-007,127,175.0,1260.0,1,2025-03-04,2025-03-04,Received
TXF-00027,2025-03-03,PLT-LA1,PLT-OH1,MAT-001,23683,28.5,76500.0,2,2025-03-05,2025-03-05,Received
TXF-00028,2025-03-03,PLT-AL1,PLT-OH1,MAT-006,142,210.0,2040.0,2,2025-03-05,2025-03-05,Received
TXF-00029,2025-03-03,PLT-AL1,PLT-LA1,MAT-022,491,95.0,1260.0,1,2025-03-04,2025-03-04,Received
TXF-00030,2025-03-10,PLT-LA1,PLT-AL1,MAT-002,29604,22.0,42840.0,1,2025-03-11,2025-03-11,Received
TXF-00031,2025-03-10,PLT-AL1,PLT-LA1,MAT-022,491,95.0,1260.0,1,2025-03-11,2025-03-11,Received
TXF-00032,2025-03-10,PLT-OH1,PLT-LA1,MAT-002,37072,22.0,107100.0,2,2025-03-12,2025-03-12,Received
TXF-00033,2025-03-17,PLT-LA1,PLT-AL1,MAT-007,95,175.0,1260.0,1,2025-03-18,2025-03-18,Received
TXF-00034,2025-03-17,PLT-LA1,PLT-AL1,MAT-007,71,175.0,1260.0,1,2025-03-18,2025-03-18,Received
TXF-00035,2025-03-17,PLT-LA1,PLT-AL1,MAT-023,503,145.0,1260.0,1,2025-03-18,2025-03-18,Received
TXF-00036,2025-03-17,PLT-AL1,PLT-OH1,MAT-038,297,185.0,2040.0,2,2025-03-19,2025-03-19,Received
TXF-00037,2025-03-24,PLT-AL1,PLT-OH1,MAT-002,70783,22.0,163200.0,2,2025-03-26,2025-03-26,Received
TXF-00038,2025-03-24,PLT-LA1,PLT-OH1,MAT-016,37499,7.5,2550.0,2,2025-03-26,2025-03-26,Received
TXF-00039,2025-03-24,PLT-LA1,PLT-AL1,MAT-039,32,210.0,1260.0,1,2025-03-25,2025-03-25,Received
TXF-00040,2025-03-24,PLT-AL1,PLT-LA1,MAT-022,717,95.0,1260.0,1,2025-03-25,2025-03-25,Received
TXF-00041,2025-03-31,PLT-OH1,PLT-LA1,MAT-022,593,95.0,2550.0,2,2025-04-02,,In Transit
TXF-00042,2025-03-31,PLT-OH1,PLT-LA1,MAT-039,195,210.0,2550.0,2,2025-04-02,,In Transit
TXF-00043,2025-04-07,PLT-OH1,PLT-AL1,MAT-039,185,210.0,2040.0,2,2025-04-09,,Planned
TXF-00044,2025-04-07,PLT-OH1,PLT-AL1,MAT-005,528,320.0,2040.0,2,2025-04-09,,Planned
TXF-00045,2025-04-07,PLT-OH1,PLT-LA1,MAT-002,60242,22.0,173400.0,2,2025-04-09,,Planned
TXF-00046,2025-04-07,PLT-AL1,PLT-LA1,MAT-023,708,145.0,1260.0,1,2025-04-08,,Planned
TXF-00047,2025-04-14,PLT-OH1,PLT-LA1,MAT-016,92679,7.5,5100.0,2,2025-04-16,,Planned
TXF-00048,2025-04-14,PLT-LA1,PLT-OH1,MAT-039,43,210.0,2550.0,2,2025-04-16,,Planned
TXF-00049,2025-04-14,PLT-AL1,PLT-OH1,MAT-008,94,420.0,2040.0,2,2025-04-16,,Planned
TXF-00050,2025-04-21,PLT-AL1,PLT-LA1,MAT-039,132,210.0,1260.0,1,2025-04-22,,Planned
TXF-00051,2025-04-21,PLT-OH1,PLT-AL1,MAT-016,32438,7.5,2040.0,2,2025-04-23,,Planned
TXF-00052,2025-04-28,PLT-LA1,PLT-OH1,MAT-039,51,210.0,2550.0,2,2025-04-30,,Planned
TXF-00053,2025-04-28,PLT-LA1,PLT-AL1,MAT-016,41446,7.5,1260.0,1,2025-04-29,,Planned
TXF-00054,2025-05-05,PLT-AL1,PLT-OH1,MAT-023,495,145.0,2040.0,2,2025-05-07,,Planned
TXF-00055,2025-05-05,PLT-AL1,PLT-LA1,MAT-006,189,210.0,1260.0,1,2025-05-06,,Planned
TXF-00056,2025-05-05,PLT-LA1,PLT-AL1,MAT-008,30,420.0,1260.0,1,2025-05-06,,Planned
TXF-00057,2025-05-05,PLT-OH1,PLT-AL1,MAT-006,74,210.0,2040.0,2,2025-05-07,,Planned
TXF-00058,2025-05-12,PLT-OH1,PLT-AL1,MAT-005,556,320.0,2040.0,2,2025-05-14,,Planned
TXF-00059,2025-05-12,PLT-OH1,PLT-LA1,MAT-038,278,185.0,2550.0,2,2025-05-14,,Planned
