schedule_id,plant_id,week_start,week_end,week_number,planned_qty,revised_qty,actual_qty,status,change_type,change_pct,change_reason
1,PLT-AL1,2025-01-01,2025-01-07,1,32426,32458,32458,COMPLETED,NONE,0.1,
2,PLT-AL1,2025-01-08,2025-01-14,2,34341,29636,29636,COMPLETED,QUANTITY_DOWN,-13.7,Quality hold — production suspended pending review
3,PLT-AL1,2025-01-15,2025-01-21,3,33356,39760,39760,COMPLETED,QUANTITY_UP,19.2,Demand acceleration — material buffer utilised
4,PLT-AL1,2025-01-22,2025-01-28,4,34214,34317,34317,COMPLETED,NONE,0.3,
5,PLT-AL1,2025-01-29,2025-02-04,5,33340,33407,33407,COMPLETED,NONE,0.2,
6,PLT-AL1,2025-02-05,2025-02-11,6,33837,27746,27746,COMPLETED,QUANTITY_DOWN,-18.0,HVAC fault — clean-room at reduced capacity
7,PLT-AL1,2025-02-12,2025-02-18,7,32757,32986,32986,COMPLETED,NONE,0.7,
8,PLT-AL1,2025-02-19,2025-02-25,8,32874,33729,33729,COMPLETED,NONE,2.6,
9,PLT-AL1,2025-02-26,2025-03-04,9,32718,32358,32358,COMPLETED,NONE,-1.1,
10,PLT-AL1,2025-03-05,2025-03-11,10,34069,33217,33217,COMPLETED,NONE,-2.5,
11,PLT-AL1,2025-03-12,2025-03-18,11,32610,32153,32153,COMPLETED,NONE,-1.4,
12,PLT-AL1,2025-03-19,2025-03-25,12,32539,32864,32864,COMPLETED,NONE,1.0,
13,PLT-AL1,2025-03-26,2025-04-01,13,32003,32227,32227,COMPLETED,NONE,0.7,
14,PLT-AL1,2025-04-02,2025-04-08,14,33620,33620,,PLANNED,NONE,0.0,
15,PLT-AL1,2025-04-09,2025-04-15,15,33506,28346,,REVISED,PUSH_OUT,-15.4,Scheduled maintenance window — line offline
16,PLT-AL1,2025-04-16,2025-04-22,16,33943,33943,,PLANNED,NONE,0.0,
17,PLT-AL1,2025-04-23,2025-04-29,17,33775,38335,,REVISED,QUANTITY_UP,13.5,Production ramp following maintenance completion
18,PLT-AL1,2025-04-30,2025-05-06,18,34060,34060,,PLANNED,NONE,0.0,
19,PLT-AL1,2025-05-07,2025-05-13,19,31828,36761,,REVISED,PULL_FORWARD,15.5,Customer pull-forward — project deadline
20,PLT-AL1,2025-05-14,2025-05-20,20,31897,31897,,PLANNED,NONE,0.0,
21,PLT-AL1,2025-05-21,2025-05-27,21,31918,31918,,PLANNED,NONE,0.0,
22,PLT-AL1,2025-05-28,2025-06-03,22,33515,33515,,PLANNED,NONE,0.0,
23,PLT-AL1,2025-06-04,2025-06-10,23,31874,31874,,PLANNED,NONE,0.0,
24,PLT-AL1,2025-06-11,2025-06-17,24,33911,28655,,REVISED,PULL_FORWARD,-15.5,Volume moved earlier — Demand acceleration — utility-scale project fast-tracked
25,PLT-AL1,2025-06-18,2025-06-24,25,33700,33700,,PLANNED,NONE,0.0,
26,PLT-AL1,2025-06-25,2025-07-01,26,33178,33178,,PLANNED,NONE,0.0,
27,PLT-OH1,2025-01-01,2025-01-07,1,31605,31226,31226,COMPLETED,NONE,-1.2,
28,PLT-OH1,2025-01-08,2025-01-14,2,32117,31892,31892,COMPLETED,NONE,-0.7,
29,PLT-OH1,2025-01-15,2025-01-21,3,33385,39361,39361,COMPLETED,QUANTITY_UP,17.9,Demand acceleration — material buffer utilised
30,PLT-OH1,2025-01-22,2025-01-28,4,32260,32099,32099,COMPLETED,NONE,-0.5,
31,PLT-OH1,2025-01-29,2025-02-04,5,31989,26711,26711,COMPLETED,QUANTITY_DOWN,-16.5,Glass supply shortage — line speed reduced
32,PLT-OH1,2025-02-05,2025-02-11,6,31178,31708,31708,COMPLETED,NONE,1.7,
33,PLT-OH1,2025-02-12,2025-02-18,7,31947,31787,31787,COMPLETED,NONE,-0.5,
34,PLT-OH1,2025-02-19,2025-02-25,8,32085,32566,32566,COMPLETED,NONE,1.5,
35,PLT-OH1,2025-02-26,2025-03-04,9,32022,27891,27891,COMPLETED,QUANTITY_DOWN,-12.9,HVAC fault — clean-room at reduced capacity
36,PLT-OH1,2025-03-05,2025-03-11,10,32310,33182,33182,COMPLETED,NONE,2.7,
37,PLT-OH1,2025-03-12,2025-03-18,11,33133,34061,34061,COMPLETED,NONE,2.8,
38,PLT-OH1,2025-03-19,2025-03-25,12,31639,31639,31639,COMPLETED,NONE,0.0,
39,PLT-OH1,2025-03-26,2025-04-01,13,32720,32589,32589,COMPLETED,NONE,-0.4,
40,PLT-OH1,2025-04-02,2025-04-08,14,31770,31770,,PLANNED,NONE,0.0,
41,PLT-OH1,2025-04-09,2025-04-15,15,33170,39041,,REVISED,PULL_FORWARD,17.7,Expedited order — NextEra Energy Q2 commissioning
42,PLT-OH1,2025-04-16,2025-04-22,16,33214,38761,,REVISED,QUANTITY_UP,16.7,Additional capacity secured — authorised weekend shift
43,PLT-OH1,2025-04-23,2025-04-29,17,33140,27274,,REVISED,PULL_FORWARD,-17.7,Volume moved earlier — Expedited order — NextEra Energy Q2 commissioning
44,PLT-OH1,2025-04-30,2025-05-06,18,32958,27059,,REVISED,PUSH_OUT,-17.9,Scheduled maintenance window — line offline
45,PLT-OH1,2025-05-07,2025-05-13,19,31422,31422,,PLANNED,NONE,0.0,
46,PLT-OH1,2025-05-14,2025-05-20,20,32782,32782,,PLANNED,NONE,0.0,
47,PLT-OH1,2025-05-21,2025-05-27,21,32707,32707,,PLANNED,NONE,0.0,
48,PLT-OH1,2025-05-28,2025-06-03,22,32041,32041,,PLANNED,NONE,0.0,
49,PLT-OH1,2025-06-04,2025-06-10,23,33542,33542,,PLANNED,NONE,0.0,
50,PLT-OH1,2025-06-11,2025-06-17,24,31164,31164,,PLANNED,NONE,0.0,
51,PLT-OH1,2025-06-18,2025-06-24,25,33559,33559,,PLANNED,NONE,0.0,
52,PLT-OH1,2025-06-25,2025-07-01,26,32244,32244,,PLANNED,NONE,0.0,
53,PLT-LA1,2025-01-01,2025-01-07,1,14204,12286,12286,COMPLETED,QUANTITY_DOWN,-13.5,Quality hold — production suspended pending review
54,PLT-LA1,2025-01-08,2025-01-14,2,13852,13866,13866,COMPLETED,NONE,0.1,
55,PLT-LA1,2025-01-15,2025-01-21,3,13692,13336,13336,COMPLETED,NONE,-2.6,
56,PLT-LA1,2025-01-22,2025-01-28,4,14103,14512,14512,COMPLETED,NONE,2.9,
57,PLT-LA1,2025-01-29,2025-02-04,5,13279,13252,13252,COMPLETED,NONE,-0.2,
58,PLT-LA1,2025-02-05,2025-02-11,6,13833,13750,13750,COMPLETED,NONE,-0.6,
59,PLT-LA1,2025-02-12,2025-02-18,7,14048,14455,14455,COMPLETED,NONE,2.9,
60,PLT-LA1,2025-02-19,2025-02-25,8,13404,15911,15911,COMPLETED,QUANTITY_UP,18.7,Overtime shift authorized — customer delivery commitment
61,PLT-LA1,2025-02-26,2025-03-04,9,13901,14221,14221,COMPLETED,NONE,2.3,
62,PLT-LA1,2025-03-05,2025-03-11,10,13659,14014,14014,COMPLETED,NONE,2.6,
63,PLT-LA1,2025-03-12,2025-03-18,11,14254,14625,14625,COMPLETED,NONE,2.6,
64,PLT-LA1,2025-03-19,2025-03-25,12,13565,11001,11001,COMPLETED,QUANTITY_DOWN,-18.9,CdTe deposition equipment fault — reduced yield
65,PLT-LA1,2025-03-26,2025-04-01,13,14139,14436,14436,COMPLETED,NONE,2.1,
66,PLT-LA1,2025-04-02,2025-04-08,14,13968,13968,,PLANNED,NONE,0.0,
67,PLT-LA1,2025-04-09,2025-04-15,15,13732,13732,,PLANNED,NONE,0.0,
68,PLT-LA1,2025-04-16,2025-04-22,16,13425,13425,,PLANNED,NONE,0.0,
69,PLT-LA1,2025-04-23,2025-04-29,17,13385,10762,,REVISED,PUSH_OUT,-19.6,Scheduled maintenance window — line offline
70,PLT-LA1,2025-04-30,2025-05-06,18,13322,13322,,PLANNED,NONE,0.0,
