demand_id,demand_date,plant_id,material_id,customer_id,product_id,required_qty,demand_type
1,2025-01-01,PLT-OH1,,CUST-001,FS7-500W,315,Customer Order
2,2025-01-02,PLT-OH1,,CUST-001,FS7-500W,325,Customer Order
3,2025-01-03,PLT-OH1,,CUST-001,FS7-500W,279,Customer Order
4,2025-01-06,PLT-OH1,,CUST-001,FS7-500W,330,Customer Order
5,2025-01-07,PLT-OH1,,CUST-001,FS7-500W,341,Customer Order
6,2025-01-08,PLT-OH1,,CUST-001,FS7-500W,278,Customer Order
7,2025-01-09,PLT-OH1,,CUST-001,FS7-500W,272,Customer Order
8,2025-01-10,PLT-OH1,,CUST-001,FS7-500W,293,Customer Order
9,2025-01-13,PLT-OH1,,CUST-001,FS7-500W,320,Customer Order
10,2025-01-14,PLT-OH1,,CUST-001,FS7-500W,341,Customer Order
11,2025-01-15,PLT-OH1,,CUST-001,FS7-500W,299,Customer Order
12,2025-01-16,PLT-OH1,,CUST-001,FS7-500W,323,Customer Order
13,2025-01-17,PLT-OH1,,CUST-001,FS7-500W,276,Customer Order
14,2025-01-20,PLT-OH1,,CUST-001,FS7-500W,321,Customer Order
15,2025-01-21,PLT-OH1,,CUST-001,FS7-500W,316,Customer Order
16,2025-01-22,PLT-OH1,,CUST-001,FS7-500W,278,Customer Order
17,2025-01-23,PLT-OH1,,CUST-001,FS7-500W,327,Customer Order
18,2025-01-24,PLT-OH1,,CUST-001,FS7-500W,333,Customer Order
19,2025-01-27,PLT-OH1,,CUST-001,FS7-500W,314,Customer Order
20,2025-01-28,PLT-OH1,,CUST-001,FS7-500W,279,Customer Order
21,2025-01-29,PLT-OH1,,CUST-001,FS7-500W,343,Customer Order
22,2025-01-30,PLT-OH1,,CUST-001,FS7-500W,328,Customer Order
23,2025-01-31,PLT-OH1,,CUST-001,FS7-500W,296,Customer Order
24,2025-02-03,PLT-OH1,,CUST-001,FS7-500W,315,Customer Order
25,2025-02-04,PLT-OH1,,CUST-001,FS7-500W,310,Customer Order
26,2025-02-05,PLT-OH1,,CUST-001,FS7-500W,321,Customer Order
27,2025-02-06,PLT-OH1,,CUST-001,FS7-500W,308,Customer Order
28,2025-02-07,PLT-OH1,,CUST-001,FS7-500W,347,Customer Order
29,2025-02-10,PLT-OH1,,CUST-001,FS7-500W,345,Customer Order
30,2025-02-11,PLT-OH1,,CUST-001,FS7-500W,290,Customer Order
