receipt_id,po_id,receipt_date,plant_id,material_id,received_qty,unit_cost,quality_status
1,PO-000001,2025-02-10,PLT-OH1,MAT-001,92128.0,30.9422,Accepted
2,PO-000002,2025-02-24,PLT-OH1,MAT-001,98258.0,30.9422,Accepted
3,PO-000003,2025-03-15,PLT-OH1,MAT-001,108794.0,30.9422,Accepted
4,PO-000004,2025-03-29,PLT-OH1,MAT-001,105283.0,30.9422,Accepted
5,PO-000013,2025-02-10,PLT-OH1,MAT-002,93822.0,23.2977,Accepted
6,PO-000014,2025-02-24,PLT-OH1,MAT-002,105225.0,23.2977,Accepted
7,PO-000015,2025-03-15,PLT-OH1,MAT-002,97509.0,23.2977,Accepted
8,PO-000016,2025-03-29,PLT-OH1,MAT-002,104805.0,23.2977,Accepted
9,PO-000025,2025-02-10,PLT-OH1,MAT-004,2166.0,92.482,Accepted
10,PO-000026,2025-02-24,PLT-OH1,MAT-004,2178.0,92.482,Accepted
11,PO-000027,2025-03-15,PLT-OH1,MAT-004,1660.0,92.482,Accepted
12,PO-000028,2025-03-29,PLT-OH1,MAT-004,2099.0,92.482,Accepted
13,PO-000037,2025-03-12,PLT-OH1,MAT-005,504.0,326.5448,Accepted
14,PO-000038,2025-03-26,PLT-OH1,MAT-005,526.0,326.5448,Accepted
15,PO-000049,2025-03-12,PLT-OH1,MAT-006,172.0,204.2487,Accepted
16,PO-000050,2025-03-26,PLT-OH1,MAT-006,183.0,204.2487,Accepted
17,PO-000061,2025-03-02,PLT-OH1,MAT-007,303.0,185.9755,Accepted
18,PO-000062,2025-03-16,PLT-OH1,MAT-007,306.0,185.9755,Accepted
19,PO-000073,2025-03-02,PLT-OH1,MAT-008,105.0,450.6228,Accepted
20,PO-000074,2025-03-16,PLT-OH1,MAT-008,100.0,450.6228,Accepted
21,PO-000085,2025-01-31,PLT-OH1,MAT-011,177622.0,6.6961,Accepted
22,PO-000086,2025-02-14,PLT-OH1,MAT-011,168891.0,6.6961,Accepted
23,PO-000087,2025-03-09,PLT-OH1,MAT-011,210076.0,6.6961,Accepted
24,PO-000088,2025-03-19,PLT-OH1,MAT-011,211344.0,6.6961,Accepted
25,PO-000097,2025-01-31,PLT-OH1,MAT-012,216536.0,3.8512,Accepted
26,PO-000098,2025-02-14,PLT-OH1,MAT-012,172021.0,3.8512,Accepted
27,PO-000099,2025-03-05,PLT-OH1,MAT-012,209718.0,3.8512,Accepted
28,PO-000100,2025-03-19,PLT-OH1,MAT-012,179522.0,3.8512,Accepted
29,PO-000109,2025-01-31,PLT-OH1,MAT-013,83946.0,2.307,Accepted
30,PO-000110,2025-02-14,PLT-OH1,MAT-013,99521.0,2.307,Accepted
31,PO-000111,2025-03-05,PLT-OH1,MAT-013,99653.0,2.307,Accepted
32,PO-000112,2025-03-19,PLT-OH1,MAT-013,103686.0,2.307,Accepted
33,PO-000121,2025-01-28,PLT-OH1,MAT-014,105155.0,0.8685,Accepted
34,PO-000122,2025-02-11,PLT-OH1,MAT-014,98694.0,0.8685,Accepted
35,PO-000123,2025-03-02,PLT-OH1,MAT-014,105516.0,0.8685,Accepted
36,PO-000124,2025-03-16,PLT-OH1,MAT-014,92460.0,0.8685,Accepted
37,PO-000125,2025-03-30,PLT-OH1,MAT-014,110915.0,0.8685,Accepted
38,PO-000133,2025-01-28,PLT-OH1,MAT-015,99063.0,1.1685,Accepted
39,PO-000134,2025-02-11,PLT-OH1,MAT-015,88515.0,1.1685,Accepted
40,PO-000135,2025-03-02,PLT-OH1,MAT-015,107596.0,1.1685,Accepted
41,PO-000136,2025-03-16,PLT-OH1,MAT-015,94299.0,1.1685,Accepted
42,PO-000137,2025-03-30,PLT-OH1,MAT-015,100625.0,1.1685,Accepted
43,PO-000145,2025-02-11,PLT-OH1,MAT-018,505.0,17.9998,Accepted
44,PO-000146,2025-02-13,PLT-OH1,MAT-018,517.0,17.9998,Accepted
45,PO-000147,2025-03-08,PLT-OH1,MAT-018,477.0,17.9998,Accepted
46,PO-000148,2025-03-18,PLT-OH1,MAT-018,492.0,17.9998,Accepted
47,PO-000149,2025-04-01,PLT-OH1,MAT-018,539.0,17.9998,Accepted
48,PO-000157,2025-01-25,PLT-OH1,MAT-019,297192.0,0.6327,Accepted
49,PO-000158,2025-02-08,PLT-OH1,MAT-019,289893.0,0.6327,Accepted
50,PO-000159,2025-02-27,PLT-OH1,MAT-019,253878.0,0.6327,Accepted
51,PO-000160,2025-03-13,PLT-OH1,MAT-019,250565.0,0.6327,Accepted
52,PO-000161,2025-03-27,PLT-OH1,MAT-019,334523.0,0.6327,Accepted
53,PO-000169,2025-01-25,PLT-OH1,MAT-020,263262.0,0.4188,Accepted
54,PO-000170,2025-02-08,PLT-OH1,MAT-020,254188.0,0.4188,Accepted
55,PO-000171,2025-02-27,PLT-OH1,MAT-020,213664.0,0.4188,Accepted
56,PO-000172,2025-03-13,PLT-OH1,MAT-020,265538.0,0.4188,Accepted
57,PO-000173,2025-03-27,PLT-OH1,MAT-020,220147.0,0.4188,Accepted
58,PO-000181,2025-01-30,PLT-OH1,MAT-021,194048.0,0.2821,Accepted
59,PO-000182,2025-02-15,PLT-OH1,MAT-021,175070.0,0.2821,Accepted
