plant_id,product_id,week_start,actual_modules,forecast_modules,lower_bound,upper_bound,is_future
PLT-AZ1,FS6-450W,2024-12-30,5550.0,5518.2,5480.1,5556.3,False
PLT-AZ1,FS6-450W,2025-01-06,9103.0,9112.6,9074.5,9150.6,False
PLT-AZ1,FS6-450W,2025-01-13,9049.0,9068.9,9030.9,9107.0,False
PLT-AZ1,FS6-450W,2025-01-20,9190.0,9179.3,9141.3,9217.4,False
PLT-AZ1,FS6-450W,2025-01-27,9253.0,9246.6,9208.5,9284.7,False
PLT-AZ1,FS6-450W,2025-02-03,9513.0,9518.7,9480.7,9556.8,False
PLT-AZ1,FS6-450W,2025-02-10,9612.0,9615.2,9577.1,9653.2,False
PLT-AZ1,FS6-450W,2025-02-17,9633.0,9622.5,9584.5,9660.6,False
PLT-AZ1,FS6-450W,2025-02-24,9554.0,9571.3,9533.2,9609.4,False
PLT-AZ1,FS6-450W,2025-03-03,9769.0,9794.1,9756.0,9832.1,False
PLT-AZ1,FS6-450W,2025-03-10,9701.0,9698.2,9660.1,9736.3,False
PLT-AZ1,FS6-450W,2025-03-17,10031.0,9864.4,9826.3,9902.5,False
PLT-AZ1,FS6-450W,2025-03-24,9865.0,9788.6,9750.5,9826.7,False
PLT-AZ1,FS6-450W,2025-03-31,10494.0,9769.0,9730.9,9807.0,False
PLT-AZ1,FS6-450W,2025-04-07,,9779.9,9741.9,9818.0,True
PLT-AZ1,FS6-450W,2025-04-14,,9803.6,9749.8,9857.5,True
PLT-AZ1,FS6-450W,2025-04-21,,9802.8,9736.9,9868.8,True
PLT-AZ1,FS6-450W,2025-04-28,,9802.8,9726.7,9879.0,True
PLT-AZ1,FS6-450W,2025-05-05,,9802.8,9717.7,9888.0,True
PLT-AZ1,FS6-450W,2025-05-12,,9802.8,9709.5,9896.1,True
PLT-AZ1,FS6-450W,2025-05-19,,9802.8,9702.1,9903.6,True
PLT-AZ1,FS6-450W,2025-05-26,,9802.8,9695.1,9910.5,True
PLT-AZ1,FS7-500W,2024-12-30,5117.0,5148.3,5112.8,5183.9,False
PLT-AZ1,FS7-500W,2025-01-06,8596.0,8570.7,8535.2,8606.3,False
PLT-AZ1,FS7-500W,2025-01-13,8624.0,8628.0,8592.5,8663.6,False
PLT-AZ1,FS7-500W,2025-01-20,8548.0,8530.9,8495.3,8566.4,False
PLT-AZ1,FS7-500W,2025-01-27,8436.0,8471.5,8435.9,8507.0,False
PLT-AZ1,FS7-500W,2025-02-03,8789.0,8797.9,8762.3,8833.4,False
PLT-AZ1,FS7-500W,2025-02-10,8904.0,8906.1,8870.6,8941.7,False
PLT-AZ1,FS7-500W,2025-02-17,9026.0,9005.7,8970.1,9041.2,False
PLT-AZ1,FS7-500W,2025-02-24,8842.0,8838.8,8803.2,8874.3,False
PLT-AZ1,FS7-500W,2025-03-03,9271.0,9260.6,9225.1,9296.2,False
PLT-AZ1,FS7-500W,2025-03-10,9113.0,9107.1,9071.6,9142.7,False
PLT-AZ1,FS7-500W,2025-03-17,8996.0,9187.3,9151.7,9222.8,False
PLT-AZ1,FS7-500W,2025-03-24,9185.0,9181.3,9145.7,9216.8,False
PLT-AZ1,FS7-500W,2025-03-31,9847.0,9229.5,9194.0,9265.1,False
PLT-AZ1,FS7-500W,2025-04-07,,9126.4,9090.9,9162.0,True
PLT-AZ1,FS7-500W,2025-04-14,,9152.1,9101.9,9202.4,True
PLT-AZ1,FS7-500W,2025-04-21,,9150.8,9089.2,9212.3,True
PLT-AZ1,FS7-500W,2025-04-28,,9150.1,9079.0,9221.2,True
PLT-AZ1,FS7-500W,2025-05-05,,9150.1,9070.6,9229.6,True
PLT-AZ1,FS7-500W,2025-05-12,,9150.1,9063.0,9237.2,True
PLT-AZ1,FS7-500W,2025-05-19,,9150.1,9056.0,9244.2,True
PLT-AZ1,FS7-500W,2025-05-26,,9150.1,9049.5,9250.6,True
PLT-OH1,FS6-450W,2024-12-30,2150.0,2184.1,2168.7,2199.4,False
PLT-OH1,FS6-450W,2025-01-06,3575.0,3586.6,3571.3,3602.0,False
PLT-OH1,FS6-450W,2025-01-13,3780.0,3764.0,3748.7,3779.4,False
PLT-OH1,FS6-450W,2025-01-20,3693.0,3697.9,3682.6,3713.3,False
PLT-OH1,FS6-450W,2025-01-27,3716.0,3715.0,3699.7,3730.4,False
PLT-OH1,FS6-450W,2025-02-03,3842.0,3841.3,3826.0,3856.7,False
PLT-OH1,FS6-450W,2025-02-10,3866.0,3861.4,3846.0,3876.8,False
PLT-OH1,FS6-450W,2025-02-17,3883.0,3882.4,3867.0,3897.7,False
PLT-OH1,FS6-450W,2025-02-24,3969.0,3952.7,3937.4,3968.1,False
PLT-OH1,FS6-450W,2025-03-03,4129.0,4122.0,4106.6,4137.3,False
PLT-OH1,FS6-450W,2025-03-10,3948.0,3950.1,3934.8,3965.5,False
PLT-OH1,FS6-450W,2025-03-17,3968.0,3965.6,3950.2,3981.0,False
PLT-OH1,FS6-450W,2025-03-24,4023.0,3972.3,3956.9,3987.6,False
PLT-OH1,FS6-450W,2025-03-31,4371.0,3950.1,3934.8,3965.5,False
PLT-OH1,FS6-450W,2025-04-07,,3950.5,3935.1,3965.8,True
PLT-OH1,FS6-450W,2025-04-14,,3965.6,3943.9,3987.3,True
PLT-OH1,FS6-450W,2025-04-21,,3972.3,3945.7,3998.9,True
PLT-OH1,FS6-450W,2025-04-28,,3972.3,3941.6,4003.0,True
PLT-OH1,FS6-450W,2025-05-05,,3972.3,3937.9,4006.6,True
PLT-OH1,FS6-450W,2025-05-12,,3972.3,3934.7,4009.9,True
PLT-OH1,FS6-450W,2025-05-19,,3972.3,3931.6,4012.9,True
PLT-OH1,FS6-450W,2025-05-26,,3972.3,3928.8,4015.7,True
PLT-OH1,FS7-500W,2024-12-30,3806.0,3760.8,3734.8,3786.8,False
PLT-OH1,FS7-500W,2025-01-06,6213.0,6222.3,6196.3,6248.3,False
PLT-OH1,FS7-500W,2025-01-13,6198.0,6194.7,6168.7,6220.7,False
PLT-OH1,FS7-500W,2025-01-20,6235.0,6243.7,6217.7,6269.7,False
PLT-OH1,FS7-500W,2025-01-27,6274.0,6277.2,6251.2,6303.2,False
PLT-OH1,FS7-500W,2025-02-03,6512.0,6499.0,6473.0,6525.0,False
PLT-OH1,FS7-500W,2025-02-10,6486.0,6488.8,6462.8,6514.8,False
PLT-OH1,FS7-500W,2025-02-17,6481.0,6487.4,6461.4,6513.4,False
PLT-OH1,FS7-500W,2025-02-24,6528.0,6522.5,6496.5,6548.5,False
PLT-OH1,FS7-500W,2025-03-03,6745.0,6750.1,6724.2,6776.1,False
PLT-OH1,FS7-500W,2025-03-10,6629.0,6638.7,6612.8,6664.7,False
PLT-OH1,FS7-500W,2025-03-17,6644.0,6735.2,6709.2,6761.2,False
PLT-OH1,FS7-500W,2025-03-24,6706.0,6748.2,6722.2,6774.2,False
PLT-OH1,FS7-500W,2025-03-31,7276.0,6767.2,6741.2,6793.1,False
