po_id,po_date,plant_id,supplier_id,material_id,ordered_qty,unit_price,po_value,requested_delivery_date,expected_delivery_date,actual_delivery_date,po_status,is_rush,expediting_cost
PO-000001,2025-01-01,PLT-OH1,SUP-003,MAT-001,92128,30.9422,2850643.0016,2025-02-10,2025-02-15,2025-02-10,Received,False,0.0
PO-000002,2025-01-15,PLT-OH1,SUP-003,MAT-001,98258,30.9422,3040318.6876,2025-02-24,2025-03-01,2025-02-24,Received,False,0.0
PO-000003,2025-02-03,PLT-OH1,SUP-003,MAT-001,108794,30.9422,3366325.7068,2025-03-15,2025-03-18,2025-03-15,Received,False,0.0
PO-000004,2025-02-17,PLT-OH1,SUP-003,MAT-001,105283,30.9422,3257687.6426,2025-03-29,2025-03-29,2025-03-29,Received,False,0.0
PO-000005,2025-03-03,PLT-OH1,SUP-003,MAT-001,98289,30.9422,3041277.8958,2025-04-12,2025-04-14,,In Transit,False,0.0
PO-000006,2025-03-17,PLT-OH1,SUP-003,MAT-001,98483,30.9422,3047280.6826,2025-04-26,2025-05-01,,In Transit,False,0.0
PO-000007,2025-04-01,PLT-OH1,SUP-003,MAT-001,109822,30.9422,3398134.2884,2025-05-11,2025-05-15,,In Transit,False,0.0
PO-000008,2025-04-15,PLT-OH1,SUP-003,MAT-001,87484,30.9422,2706947.4248,2025-05-25,2025-05-28,,Open,False,0.0
PO-000009,2025-05-01,PLT-OH1,SUP-003,MAT-001,110051,30.9422,3405220.0522,2025-06-10,2025-06-15,,Open,False,0.0
PO-000010,2025-05-15,PLT-OH1,SUP-003,MAT-001,83513,30.9422,2584075.9486,2025-06-24,2025-07-01,,Open,False,0.0
PO-000011,2025-06-02,PLT-OH1,SUP-003,MAT-001,86311,30.9422,2670652.2242,2025-07-12,2025-07-12,,Open,False,0.0
PO-000012,2025-06-16,PLT-OH1,SUP-003,MAT-001,95677,30.9422,2960456.8694,2025-07-26,2025-07-29,,Open,False,0.0
PO-000013,2025-01-01,PLT-OH1,SUP-003,MAT-002,93822,23.2977,2185836.8094,2025-02-10,2025-02-13,2025-02-10,Received,False,0.0
PO-000014,2025-01-15,PLT-OH1,SUP-003,MAT-002,105225,23.2977,2451500.4825,2025-02-24,2025-02-26,2025-02-24,Received,False,0.0
PO-000015,2025-02-03,PLT-OH1,SUP-003,MAT-002,97509,23.2977,2271735.4293,2025-03-15,2025-03-17,2025-03-15,Received,False,0.0
PO-000016,2025-02-17,PLT-OH1,SUP-003,MAT-002,104805,23.2977,2441715.4485,2025-03-29,2025-04-07,2025-03-29,Received,False,0.0
PO-000017,2025-03-03,PLT-OH1,SUP-003,MAT-002,93179,23.2977,2170856.3883,2025-04-12,2025-04-15,,In Transit,False,0.0
PO-000018,2025-03-17,PLT-OH1,SUP-003,MAT-002,88857,23.2977,2070163.7289,2025-04-26,2025-05-01,,In Transit,False,0.0
PO-000019,2025-04-01,PLT-OH1,SUP-003,MAT-002,96671,23.2977,2252211.9567,2025-05-11,2025-05-11,,In Transit,False,0.0
PO-000020,2025-04-15,PLT-OH1,SUP-003,MAT-002,82928,23.2977,1932031.6656,2025-05-25,2025-05-31,,Open,False,0.0
PO-000021,2025-05-01,PLT-OH1,SUP-003,MAT-002,110789,23.2977,2581128.8853,2025-06-10,2025-06-15,,Open,False,0.0
PO-000022,2025-05-15,PLT-OH1,SUP-003,MAT-002,110326,23.2977,2570342.0502,2025-06-24,2025-06-30,,Open,False,0.0
PO-000023,2025-06-02,PLT-OH1,SUP-003,MAT-002,110332,23.2977,2570481.8364,2025-07-12,2025-07-15,,Open,False,0.0
PO-000024,2025-06-16,PLT-OH1,SUP-003,MAT-002,111902,23.2977,2607059.2254,2025-07-26,2025-08-01,,Open,False,0.0
PO-000025,2025-01-01,PLT-OH1,SUP-003,MAT-004,2166,92.482,200316.012,2025-02-10,2025-01-14,2025-02-10,Received,True,23536.4128
PO-000026,2025-01-15,PLT-OH1,SUP-003,MAT-004,2178,92.482,201425.796,2025-02-24,2025-01-28,2025-02-24,Received,True,22019.674
PO-000027,2025-02-03,PLT-OH1,SUP-003,MAT-004,1660,92.482,153520.12,2025-03-15,2025-03-22,2025-03-15,Received,False,0.0
PO-000028,2025-02-17,PLT-OH1,SUP-003,MAT-004,2099,92.482,194119.718,2025-03-29,2025-03-02,2025-03-29,Received,True,20609.0342
PO-000029,2025-03-03,PLT-OH1,SUP-003,MAT-004,2040,92.482,188663.28,2025-04-12,2025-04-14,,In Transit,False,0.0
