supplier_id,material_id,plant_id,lead_time_days,lead_time_variability_days,unit_price,min_order_qty
SUP-001,MAT-001,PLT-AL1,40,5,29.3153,10
SUP-001,MAT-001,PLT-LA1,40,5,30.2499,250
SUP-001,MAT-002,PLT-AL1,40,4,22.9455,10
SUP-001,MAT-002,PLT-LA1,40,4,22.4233,25
SUP-002,MAT-001,PLT-LA1,40,5,29.6853,250
SUP-002,MAT-002,PLT-LA1,40,6,22.6011,50
SUP-003,MAT-001,PLT-OH1,40,8,30.9422,50
SUP-003,MAT-001,PLT-LA1,40,8,30.0574,25
SUP-003,MAT-002,PLT-OH1,40,9,23.2977,10
SUP-003,MAT-004,PLT-AL1,40,9,91.6909,10
SUP-003,MAT-004,PLT-OH1,40,9,92.482,250
SUP-004,MAT-005,PLT-LA1,70,10,316.6149,50
SUP-004,MAT-006,PLT-AL1,70,13,209.8299,10
SUP-004,MAT-006,PLT-LA1,70,13,210.9981,10
SUP-004,MAT-006,PLT-OH1,70,13,204.2487,100
SUP-005,MAT-007,PLT-OH1,60,12,185.9755,10
SUP-005,MAT-007,PLT-AL1,60,12,184.803,25
SUP-005,MAT-008,PLT-LA1,60,10,433.2297,250
SUP-005,MAT-008,PLT-AL1,60,10,431.7016,50
SUP-005,MAT-008,PLT-OH1,60,10,450.6228,10
SUP-005,MAT-010,PLT-AL1,60,13,9.8894,10
SUP-006,MAT-005,PLT-OH1,70,11,326.5448,100
SUP-006,MAT-005,PLT-AL1,70,11,309.6494,25
SUP-006,MAT-005,PLT-LA1,70,11,311.9211,250
SUP-006,MAT-007,PLT-OH1,70,10,179.5703,25
SUP-006,MAT-007,PLT-LA1,70,10,173.7297,10
SUP-006,MAT-007,PLT-AL1,70,10,176.6782,10
SUP-006,MAT-009,PLT-LA1,70,8,95.4216,250
SUP-007,MAT-011,PLT-LA1,30,7,6.7785,10
SUP-007,MAT-011,PLT-OH1,30,7,6.6961,10
SUP-007,MAT-012,PLT-LA1,30,3,3.9699,100
SUP-007,MAT-012,PLT-OH1,30,3,3.8512,50
SUP-007,MAT-012,PLT-AL1,30,3,4.1176,25
SUP-007,MAT-013,PLT-AL1,30,3,2.2776,250
SUP-007,MAT-013,PLT-OH1,30,3,2.307,250
SUP-007,MAT-013,PLT-LA1,30,3,2.3016,250
SUP-008,MAT-011,PLT-OH1,27,2,7.0263,10
SUP-008,MAT-011,PLT-AL1,27,2,6.6521,100
SUP-008,MAT-012,PLT-LA1,27,5,4.023,100
SUP-008,MAT-014,PLT-AL1,27,6,0.8813,25
SUP-008,MAT-014,PLT-OH1,27,6,0.8685,100
SUP-008,MAT-014,PLT-LA1,27,6,0.8852,50
SUP-008,MAT-015,PLT-LA1,27,3,1.1855,50
SUP-008,MAT-015,PLT-OH1,27,3,1.1685,250
SUP-009,MAT-016,PLT-LA1,24,4,7.3202,10
SUP-009,MAT-017,PLT-AL1,24,3,2.0866,250
SUP-009,MAT-017,PLT-LA1,24,3,2.0357,250
SUP-009,MAT-019,PLT-OH1,24,5,0.6327,10
SUP-009,MAT-019,PLT-AL1,24,5,0.6536,50
SUP-009,MAT-019,PLT-LA1,24,5,0.6431,100
SUP-009,MAT-020,PLT-AL1,24,3,0.4131,10
SUP-009,MAT-020,PLT-LA1,24,3,0.4105,25
SUP-009,MAT-020,PLT-OH1,24,3,0.4188,25
SUP-010,MAT-016,PLT-AL1,24,3,7.84,250
SUP-010,MAT-017,PLT-AL1,24,4,2.1478,10
SUP-010,MAT-021,PLT-AL1,24,2,0.2853,25
SUP-011,MAT-023,PLT-OH1,23,2,155.1778,100
SUP-011,MAT-024,PLT-OH1,23,2,65.9198,10
SUP-011,MAT-024,PLT-LA1,23,2,67.2222,250
SUP-011,MAT-027,PLT-LA1,23,3,4.702,100
SUP-011,MAT-049,PLT-LA1,16,3,8.9005,25
SUP-011,MAT-049,PLT-AL1,16,3,8.8931,10
SUP-011,MAT-049,PLT-OH1,16,3,9.2767,25
SUP-012,MAT-022,PLT-AL1,29,4,97.223,250
SUP-012,MAT-022,PLT-LA1,29,4,95.441,50
SUP-012,MAT-022,PLT-OH1,29,4,94.6936,50
SUP-012,MAT-038,PLT-OH1,41,6,190.4716,50
SUP-012,MAT-039,PLT-OH1,41,4,215.4664,250
SUP-012,MAT-039,PLT-AL1,41,4,220.9917,10
SUP-012,MAT-040,PLT-AL1,41,9,29.2391,25
SUP-012,MAT-040,PLT-OH1,41,9,28.2344,25
SUP-012,MAT-040,PLT-LA1,41,9,28.3693,250
SUP-013,MAT-036,PLT-LA1,75,17,74.0292,25
SUP-013,MAT-036,PLT-AL1,75,17,74.8736,10
SUP-013,MAT-036,PLT-OH1,75,17,77.3823,25
SUP-013,MAT-037,PLT-OH1,75,15,56.9511,50
SUP-013,MAT-037,PLT-AL1,75,15,58.1612,50
SUP-014,MAT-036,PLT-LA1,80,13,76.8253,10
SUP-014,MAT-037,PLT-AL1,80,9,59.3649,100
SUP-014,MAT-037,PLT-OH1,80,9,59.8544,10
SUP-015,MAT-038,PLT-LA1,40,4,178.5975,250
SUP-015,MAT-039,PLT-OH1,40,4,201.8722,10
SUP-016,MAT-022,PLT-LA1,24,2,104.8593,100
SUP-016,MAT-038,PLT-LA1,33,7,206.9089,25
SUP-016,MAT-038,PLT-AL1,33,7,205.5993,10
SUP-016,MAT-038,PLT-OH1,33,7,195.8998,50
SUP-016,MAT-040,PLT-LA1,33,4,30.9211,10
SUP-016,MAT-040,PLT-AL1,33,4,30.0746,10
SUP-017,MAT-033,PLT-OH1,67,14,1326.1627,25
SUP-017,MAT-033,PLT-LA1,67,14,1250.572,25
SUP-017,MAT-034,PLT-OH1,67,15,422.6502,50
SUP-017,MAT-034,PLT-LA1,67,15,405.2622,250
SUP-017,MAT-043,PLT-LA1,67,16,2937.0773,50
SUP-017,MAT-043,PLT-OH1,67,16,2950.2332,50
SUP-017,MAT-044,PLT-AL1,67,12,154.5807,50
SUP-018,MAT-018,PLT-OH1,29,6,17.9998,10
SUP-018,MAT-020,PLT-OH1,29,4,0.4164,50
SUP-018,MAT-020,PLT-AL1,29,4,0.4328,10
SUP-018,MAT-020,PLT-LA1,29,4,0.4357,50
SUP-018,MAT-021,PLT-OH1,29,4,0.2821,25
SUP-018,MAT-021,PLT-LA1,29,4,0.28,100
SUP-018,MAT-021,PLT-AL1,29,4,0.2896,25
SUP-019,MAT-047,PLT-AL1,13,2,3.4114,250
SUP-019,MAT-047,PLT-OH1,13,2,3.3812,100
SUP-019,MAT-047,PLT-LA1,13,2,3.3321,25
SUP-019,MAT-048,PLT-OH1,13,2,1.9031,250
SUP-019,MAT-048,PLT-AL1,13,2,1.8605,25
SUP-019,MAT-048,PLT-LA1,13,2,1.9043,25
SUP-019,MAT-050,PLT-AL1,13,2,22.5955,100
SUP-020,MAT-040,PLT-OH1,39,8,29.0233,100
SUP-020,MAT-040,PLT-AL1,39,8,28.7408,10
SUP-020,MAT-041,PLT-OH1,20,2,44.8065,250
SUP-020,MAT-042,PLT-AL1,20,4,12.2115,25
SUP-020,MAT-042,PLT-LA1,20,4,12.7995,250
