recommendation_id,recommendation_date,plant_id,material_id,recommendation_type,priority,trigger_reason,recommended_qty,recommended_supplier_id,recommended_source_plant,estimated_cost,days_until_stockout,current_on_hand,safety_stock_level,days_forward_coverage,material_lead_time,lead_time_variability,action_taken
1,2025-06-22,PLT-OH1,MAT-001,NEW_PO,HIGH,"LOW INVENTORY: QoH=208528.9 < SafetyStock=222430.8, DFC=45.0d <= LT+Var=48d. No excess at other plants or freight cost exceeds PO cost",236333,SUP-003,,7312662.95,45.0,208528.86,222430.79,45.0,40,8,False
2,2025-06-22,PLT-OH1,MAT-002,NEW_PO,HIGH,"LOW INVENTORY: QoH=194626.9 < SafetyStock=227064.8, DFC=42.0d <= LT+Var=49d. No excess at other plants or freight cost exceeds PO cost",259503,SUP-003,,6045823.04,42.0,194626.94,227064.76,42.0,40,9,False
3,2025-06-22,PLT-OH1,MAT-005,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=1294.9 < SafetyStock=2252.1, DFC=46.6d <= LT+Var=81d. No excess at other plants or freight cost exceeds PO cost",3209,SUP-006,,1047882.26,46.57,1294.89,2252.11,46.57,70,11,True
4,2025-06-22,PLT-OH1,MAT-006,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=536.4 < SafetyStock=769.2, DFC=57.9d <= LT+Var=83d. No excess at other plants or freight cost exceeds PO cost",1002,SUP-004,,204657.2,57.88,536.42,769.24,57.88,70,13,True
5,2025-06-22,PLT-OH1,MAT-007,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=700.2 < SafetyStock=1000.9, DFC=50.4d <= LT+Var=72d. No excess at other plants or freight cost exceeds PO cost",1302,SUP-005,,242140.1,50.37,700.23,1000.94,50.37,60,12,False
6,2025-06-22,PLT-OH1,MAT-008,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=202.7 < SafetyStock=324.4, DFC=43.8d <= LT+Var=70d. No excess at other plants or freight cost exceeds PO cost",446,SUP-005,,200977.77,43.75,202.73,324.38,43.75,60,10,False
7,2025-06-22,PLT-OH1,MAT-012,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=1008686.2 > 3xSafetyStock=917527.0, DFC=108.8d > 2xLT=60d",549923,,,0,108.84,1008686.18,305842.33,108.84,30,3,False
8,2025-06-22,PLT-OH1,MAT-018,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=2626.8 > 3xSafetyStock=2432.8, DFC=113.4d > 2xLT=58d",1410,,,0,113.37,2626.78,810.95,113.37,29,6,False
9,2025-06-22,PLT-OH1,MAT-023,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=1254.2 < SafetyStock=1737.7, DFC=18.0d <= LT+Var=25d. No excess at other plants or freight cost exceeds PO cost",2221,SUP-011,,344649.89,18.04,1254.2,1737.74,18.04,23,2,True
10,2025-06-22,PLT-OH1,MAT-024,NEW_PO,HIGH,"LOW INVENTORY: QoH=221.2 < SafetyStock=231.7, DFC=23.9d <= LT+Var=25d. No excess at other plants or freight cost exceeds PO cost",242,SUP-011,,15952.59,23.87,221.23,231.7,23.87,23,2,True
11,2025-06-22,PLT-OH1,MAT-027,NEW_PO,HIGH,"LOW INVENTORY: QoH=203.3 < SafetyStock=324.4, DFC=21.9d <= LT+Var=26d. No excess at other plants or freight cost exceeds PO cost",445,SUP-011,,2092.39,21.94,203.32,324.38,21.94,23,3,False
12,2025-06-22,PLT-OH1,MAT-038,TRANSFER,HIGH,"LOW INVENTORY: QoH=385.2 < SafetyStock=653.4, DFC=27.7d <= LT+Var=47d. Freight $2,550 (850 mi x 1 truck(s)) < New PO $175,615",922,,PLT-LA1,2550.0,27.71,385.16,653.39,27.71,41,6,False
13,2025-06-22,PLT-OH1,MAT-047,NEW_PO,HIGH,"LOW INVENTORY: QoH=54377.8 < SafetyStock=69509.6, DFC=11.7d <= LT+Var=15d. No excess at other plants or freight cost exceeds PO cost",84641,SUP-019,,286188.15,11.73,54377.83,69509.62,11.73,13,2,False
14,2025-06-22,PLT-OH1,MAT-048,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=216572.1 > 3xSafetyStock=208528.9, DFC=46.7d > 2xLT=26d",112308,,,0,46.74,216572.09,69509.62,46.74,13,2,False
15,2025-06-22,PLT-OH1,MAT-049,NEW_PO,HIGH,"LOW INVENTORY: QoH=689.9 < SafetyStock=880.5, DFC=14.9d <= LT+Var=19d. No excess at other plants or freight cost exceeds PO cost",1071,SUP-011,,9935.35,14.89,689.91,880.46,14.89,16,3,False
16,2025-06-22,PLT-AL1,MAT-001,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=84939.3 < SafetyStock=212348.2, DFC=18.0d <= LT+Var=45d. No excess at other plants or freight cost exceeds PO cost",339757,SUP-001,,9960078.38,18.0,84939.28,212348.2,18.0,40,5,False
17,2025-06-22,PLT-AL1,MAT-002,NEW_PO,HIGH,"LOW INVENTORY: QoH=94377.0 < SafetyStock=207629.3, DFC=20.0d <= LT+Var=44d. No excess at other plants or freight cost exceeds PO cost",320882,SUP-001,,7362797.93,20.0,94376.98,207629.35,20.0,40,4,False
18,2025-06-22,PLT-AL1,MAT-005,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=1264.6 < SafetyStock=2293.4, DFC=44.7d <= LT+Var=81d. No excess at other plants or freight cost exceeds PO cost",3322,SUP-006,,1028655.31,44.66,1264.6,2293.36,44.66,70,11,False
19,2025-06-22,PLT-AL1,MAT-006,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=614.9 < SafetyStock=783.3, DFC=65.2d <= LT+Var=83d. No excess at other plants or freight cost exceeds PO cost",952,SUP-004,,199758.06,65.15,614.91,783.33,65.15,70,13,False
20,2025-06-22,PLT-AL1,MAT-007,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=574.7 < SafetyStock=1019.3, DFC=40.6d <= LT+Var=72d. No excess at other plants or freight cost exceeds PO cost",1464,SUP-005,,270551.59,40.6,574.69,1019.27,40.6,60,12,False
21,2025-06-22,PLT-AL1,MAT-008,NEW_PO,CRITICAL,"LOW INVENTORY: QoH=215.4 < SafetyStock=330.3, DFC=45.6d <= LT+Var=70d. No excess at other plants or freight cost exceeds PO cost",445,SUP-005,,192107.21,45.65,215.43,330.32,45.65,60,10,False
22,2025-06-22,PLT-AL1,MAT-009,TRANSFER,CRITICAL,"LOW INVENTORY: QoH=161.3 < SafetyStock=165.2, DFC=34.2d <= LT+Var=78d. Freight $1,260 (420 mi x 1 truck(s)) < New PO $23,855",250,,PLT-LA1,1260.0,34.18,161.27,165.16,34.18,70,8,False
23,2025-06-22,PLT-AL1,MAT-011,NEW_PO,HIGH,"LOW INVENTORY: QoH=206538.0 < SafetyStock=273693.2, DFC=21.9d <= LT+Var=29d. No excess at other plants or freight cost exceeds PO cost",340848,SUP-008,,2267354.98,21.88,206538.02,273693.23,21.88,27,2,True
24,2025-06-22,PLT-AL1,MAT-012,EXCESS_ALERT,LOW,"EXCESS INVENTORY: QoH=965648.8 > 3xSafetyStock=934332.1, DFC=102.3d > 2xLT=60d",498483,,,0,102.32,965648.77,311444.02,102.32,30,3,False
25,2025-06-22,PLT-AL1,MAT-014,NEW_PO,HIGH,"LOW INVENTORY: QoH=153512.9 < SafetyStock=155722.0, DFC=32.5d <= LT+Var=33d. No excess at other plants or freight cost exceeds PO cost",157931,SUP-008,,139184.59,32.53,153512.88,155722.01,32.53,27,6,False
26,2025-06-22,PLT-AL1,MAT-017,NEW_PO,HIGH,"LOW INVENTORY: QoH=84093.2 < SafetyStock=127408.9, DFC=17.8d <= LT+Var=27d. No excess at other plants or freight cost exceeds PO cost",170725,SUP-009,,356234.78,17.82,84093.17,127408.92,17.82,24,3,False
27,2025-06-22,PLT-AL1,MAT-018,TRANSFER,HIGH,"LOW INVENTORY: QoH=510.7 < SafetyStock=825.8, DFC=21.6d <= LT+Var=35d. Freight $2,040 (680 mi x 1 truck(s)) < New PO $20,538",1141,,PLT-OH1,2040.0,21.65,510.75,825.8,21.65,29,6,True
28,2025-06-22,PLT-AL1,MAT-019,NEW_PO,HIGH,"LOW INVENTORY: QoH=364186.5 < SafetyStock=410539.8, DFC=25.7d <= LT+Var=29d. No excess at other plants or freight cost exceeds PO cost",456893,SUP-009,,298625.26,25.73,364186.45,410539.84,25.73,24,5,False
29,2025-06-22,PLT-AL1,MAT-021,NEW_PO,HIGH,"LOW INVENTORY: QoH=174026.1 < SafetyStock=220842.1, DFC=20.5d <= LT+Var=26d. No excess at other plants or freight cost exceeds PO cost",267658,SUP-010,,76362.83,20.49,174026.1,220842.12,20.49,24,2,False
30,2025-06-22,PLT-AL1,MAT-038,TRANSFER,HIGH,"LOW INVENTORY: QoH=435.2 < SafetyStock=566.3, DFC=30.7d <= LT+Var=40d. Freight $1,260 (420 mi x 1 truck(s)) < New PO $143,303",697,,PLT-LA1,1260.0,30.74,435.17,566.26,30.74,33,7,False
31,2025-06-22,PLT-AL1,MAT-039,TRANSFER,HIGH,"LOW INVENTORY: QoH=296.2 < SafetyStock=424.7, DFC=31.4d <= LT+Var=45d. Freight $1,260 (420 mi x 1 truck(s)) < New PO $122,208",553,,PLT-LA1,1260.0,31.39,296.21,424.7,31.39,41,4,False
